Experiment type,Framework,Start,End,Arguments
TeraSort,Apache Flink,"2016-08-10, 14:37:12","2016-08-10, 14:37:13",partitions=15/15 ; size=1000000
,,"2016-08-10, 14:37:03","2016-08-10, 14:37:04",
,,"2016-08-10, 14:36:55","2016-08-10, 14:36:57",
,,"2016-08-10, 14:36:47","2016-08-10, 14:36:48",
,,"2016-08-10, 14:36:40","2016-08-10, 14:36:41",
,,"2016-08-10, 14:39:37","2016-08-10, 14:39:39",partitions=10/15 ; size=1000000
,,"2016-08-10, 14:39:29","2016-08-10, 14:39:31",
,,"2016-08-10, 14:39:22","2016-08-10, 14:39:24",
,,"2016-08-10, 14:39:15","2016-08-10, 14:39:16",
,,"2016-08-10, 14:38:45","2016-08-10, 14:38:46",
,,"2016-08-10, 14:41:27","2016-08-10, 14:41:28",partitions=5/15 ; size=1000000
,,"2016-08-10, 14:41:19","2016-08-10, 14:41:21",
,,"2016-08-10, 14:41:12","2016-08-10, 14:41:13",
,,"2016-08-10, 14:41:05","2016-08-10, 14:41:06",
,,"2016-08-10, 14:40:51","2016-08-10, 14:40:54",
,,"2016-08-10, 14:44:24","2016-08-10, 14:44:34",partitions=15/15 ; size=10000000
,,"2016-08-10, 14:44:05","2016-08-10, 14:44:17",
,,"2016-08-10, 14:43:51","2016-08-10, 14:43:59",
,,"2016-08-10, 14:43:31","2016-08-10, 14:43:41",
,,"2016-08-10, 14:43:13","2016-08-10, 14:43:24",
,,"2016-08-10, 14:45:54","2016-08-10, 14:46:05",partitions=10/15 ; size=10000000
,,"2016-08-10, 14:46:14","2016-08-10, 14:46:23",
,,"2016-08-10, 14:46:29","2016-08-10, 14:46:39",
,,"2016-08-10, 14:46:45","2016-08-10, 14:46:57",
,,"2016-08-10, 14:47:04","2016-08-10, 14:47:12",
,,"2016-08-10, 14:48:45","2016-08-10, 14:49:00",partitions=5/15 ; size=10000000
,,"2016-08-10, 14:49:09","2016-08-10, 14:49:22",
,,"2016-08-10, 14:50:01","2016-08-10, 14:50:14",
,,"2016-08-10, 14:50:38","2016-08-10, 14:50:50",
,,"2016-08-10, 14:51:45","2016-08-10, 14:51:58",
,,"2016-08-10, 14:54:23","2016-08-10, 14:55:41",partitions=10/15 ; size=100000000
,,"2016-08-10, 14:56:37","2016-08-10, 14:57:56",
,,"2016-08-10, 14:59:06","2016-08-10, 15:00:26",
,,"2016-08-10, 15:01:15","2016-08-10, 15:02:28",
,,"2016-08-10, 15:03:10","2016-08-10, 15:04:32",
TeraSort,Apache Spark,"2016-08-10, 16:12:12","2016-08-10, 16:12:52",partitions=15/15 ; size=1000000
,,"2016-08-10, 16:12:12","2016-08-10, 16:12:52",
,,"2016-08-10, 16:13:56","2016-08-10, 16:14:36",
,,"2016-08-10, 16:14:43","2016-08-10, 16:15:23",
,,"2016-08-10, 16:15:29","2016-08-10, 16:16:10",
,,"2016-08-10, 16:16:52","2016-08-10, 16:17:31",partitions=10/15; size=1000000
,,"2016-08-10, 16:16:52","2016-08-10, 16:17:31",
,,"2016-08-10, 16:18:13","2016-08-10, 16:18:53",
,,"2016-08-10, 16:19:18","2016-08-10, 16:19:58",
,,"2016-08-10, 16:20:22","2016-08-10, 16:21:02",
,,"2016-08-10, 16:22:50","2016-08-10, 16:23:30",partitions=5/15; size=1000000
,,"2016-08-10, 16:23:38","2016-08-10, 16:24:18",
,,"2016-08-10, 16:24:31","2016-08-10, 16:25:11",
,,"2016-08-10, 16:24:31","2016-08-10, 16:25:11",
,,"2016-08-10, 16:26:54","2016-08-10, 16:27:33",
,,"2016-08-10, 15:29:39 ","2016-08-10, 15:30:18",partitions=15/15 ; size=10000000
,,"2016-08-10, 15:31:09","2016-08-10, 15:31:49",
,,"2016-08-10, 15:32:19","2016-08-10, 15:33:00",
,,"2016-08-10, 15:33:30","2016-08-10, 15:34:11",
,,"2016-08-10, 15:34:41","2016-08-10, 15:35:22",
,,"2016-08-10, 15:41:12","2016-08-10, 15:41:54",partitions=10/15 ; size=10000000
,,"2016-08-10, 15:42:50","2016-08-10, 15:43:30",
,,"2016-08-10, 15:46:10","2016-08-10, 15:46:51",
,,"2016-08-10, 15:47:29","2016-08-10, 15:48:09",
,,"2016-08-10, 15:49:08","2016-08-10, 15:49:49",
,,"2016-08-10, 15:52:23","2016-08-10, 15:53:04",partitions=5/15 ; size=10000000
,,"2016-08-10, 15:53:52","2016-08-10, 15:54:31",
,,"2016-08-10, 15:53:52","2016-08-10, 15:54:31",
,,"2016-08-10, 15:55:47","2016-08-10, 15:56:26",
,,"2016-08-10, 15:57:40","2016-08-10, 15:58:19",
,,"2016-08-11, 09:24:39","2016-08-11, 09:26:30",partitions=10/15 ; size=100000000
,,"2016-08-11, 09:27:35","2016-08-11, 09:29:17",
,,"2016-08-11, 09:29:43","2016-08-11, 09:31:24",
,,"2016-08-11, 09:31:51","2016-08-11, 09:33:57",
,,"2016-08-11, 09:34:05","2016-08-11, 09:35:49",